Concurrency, Min chrome pdf generation, Avg chrome pdf generation, Max chrome pdf generation, Min pdfmake pdf generation, Avg pdfmake pdf generation, Max pdfmake pdf generation, Min pdfmake image download, Avg pdfmake image download, Max pdfmake image download, Min pdfmake pdf creation, Avg pdfmake pdf creation, Max pdfmake pdf creation
1,1515,1869.2,2099,4290,4392.25,4650,49,95.05,133,4204,4297.2,4529
6,1628,3385.93,4482,4270,15208.28,26657,139,10940.33,22302,4056,4267.93,4677
11,2565,6246.01,7739,4381,26521.48,49532,157,22206.33,45067,4071,4315.14,4706
16,undefined,undefined,undefined,4266,37347.92,71989,187,33057.36,67750,4000,4290.56,4894
21,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
26,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
31,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
36,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
41,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
46,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
