Concurrency, Avg chrome pdf generation, Avg pdfmake pdf generation, Avg pdfmake image download, Avg pdfmake pdf creation
1,2085.25,5359.45,112.55,5246.9
6,4412.51,15670.83,11296.4,4374.43
11,8949.6,31994.43,24405.9,7588.52
16,14302.93,44033.62,38983.9,5049.7
21,undefined,139985.35,126049.91,13935.44
26,28128.73,64761.24,59099.67,5661.57
31,undefined,77893.02,72431.42,5461.58
36,undefined,103746.76,98102.12,5644.63
41,undefined,112090.01,106748.49,5341.51
46,undefined,105956.14,101202.85,4753.29
